dataProduct,measurementID,measurement_name,units
DP1.00024.001,photosynthetically_active_radiation_outgoing_mean,Photosynthetically Active Radiation; Outgoing; Mean,micromolesPerSquareMeterPerSecond
DP1.00024.001,photosynthetically_active_radiation_outgoing_minimum,Photosynthetically Active Radiation; Outgoing; Minimum,micromolesPerSquareMeterPerSecond
DP1.00024.001,photosynthetically_active_radiation_outgoing_temporal_variance,Photosynthetically Active Radiation; Outgoing; Temporal Variance,micromolesPerSquareMeterPerSecondSquared
DP1.00038.001,18o16o_isotope_ratio_precipitation,18O:16O Isotope Ratio; Precipitation,permill
DP1.00038.001,2h1h_isotope_ratio_precipitation,2H:1H Isotope Ratio; Precipitation,permill
DP1.00040.001,heat_flux_soil_maximum,Heat Flux; Soil; Maximum,wattsPerSquareMeter
DP1.00040.001,heat_flux_soil_mean,Heat Flux; Soil; Mean,wattsPerSquareMeter
DP1.00040.001,heat_flux_soil_minimum,Heat Flux; Soil; Minimum,wattsPerSquareMeter
DP1.00040.001,heat_flux_soil_temporal_variance,Heat Flux; Soil; Temporal Variance,wattsPerSquareMeterSquared
DP1.00041.001,temperature_soil_elevational_variance,Temperature; Soil; Elevational Variance,celsiusSquared
DP1.00041.001,temperature_soil_maximum,Temperature; Soil; Maximum,celsius
DP1.00041.001,temperature_soil_mean,Temperature; Soil; Mean,celsius
DP1.00041.001,temperature_soil_minimum,Temperature; Soil; Minimum,celsius
DP1.00041.001,temperature_soil_temporal_variance,Temperature; Soil; Temporal Variance,celsiusSquared
DP1.00066.001,photosynthetically_active_radiation_incoming_maximum,Photosynthetically Active Radiation; Incoming; Maximum,micromolesPerSquareMeterPerSecond
DP1.00066.001,photosynthetically_active_radiation_incoming_mean,Photosynthetically Active Radiation; Incoming; Mean,micromolesPerSquareMeterPerSecond
DP1.00066.001,photosynthetically_active_radiation_incoming_minimum,Photosynthetically Active Radiation; Incoming; Minimum,micromolesPerSquareMeterPerSecond
DP1.00066.001,photosynthetically_active_radiation_incoming_temporal_variance,Photosynthetically Active Radiation; Incoming; Temporal Variance,micromolesPerSquareMeterPerSecondSquared
DP1.00094.001,ion_content_salinity_soil_elevational_variance,Ion Content (Salinity); Soil; Elevational Variance,dimensionless
DP1.00094.001,ion_content_salinity_soil_maximum,Ion Content (Salinity); Soil; Maximum,dimensionless
DP1.00094.001,ion_content_salinity_soil_mean,Ion Content (Salinity); Soil; Mean,dimensionless
DP1.00094.001,ion_content_salinity_soil_minimum,Ion Content (Salinity); Soil; Minimum,dimensionless
DP1.00094.001,ion_content_salinity_soil_temporal_variance,Ion Content (Salinity); Soil; Temporal Variance,dimensionless
DP1.00094.001,water_content_soil_elevational_variance,Water Content; Soil; Elevational Variance,cubicCentimetersPerCubicCentimeterSquared
DP1.00094.001,water_content_soil_maximum,Water Content; Soil; Maximum,cubicCentimetersPerCubicCentimeter
DP1.00094.001,water_content_soil_mean,Water Content; Soil; Mean,cubicCentimetersPerCubicCentimeter
DP1.00094.001,water_content_soil_minimum,Water Content; Soil; Minimum,cubicCentimetersPerCubicCentimeter
